fecha,estacion,comuna,zona_geografica,tipo_estacion,mp2_5_mean,mp2_5_max,mp10_mean,mp10_max,o3_mean,o3_max,temperatura_mean,humedad_mean,presion_mean,viento_mean,direccion_viento,radiacion_mean,isoterma_0_mean,precipitacion_sum,precipitacion_max,prop_inversion,dia_semana,es_finde,es_festivo,periodo_gec,tipo_dia,estacion_anio,temporada_critica,nivel_socioeconomico,calidad_aire_mp25,calidad_aire_mp10,nivel_contaminacion,estaciones_en_episodio,critico_mp25_dia,critico_mp10_dia,mala_calidad_mp25
2022-01-01,Cerrillos,Cerrillos,Poniente,Urbana de tráfico,13.6,32.6,32.85,64.7,38.9,114.3,21.37,56.03,1017.54,2.48,226.5,424.46,4057.92,0.0,0.0,0.29,5,1,1,0,Festivo,Verano,Resto del año,Q2 (medio-bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-01,Cerro Navia,Cerro Navia,Poniente,Urbana de fondo,15.77,33.5,36.22,66.7,38.42,108.5,21.52,58.04,1016.91,2.49,227.71,417.62,3997.29,0.0,0.0,0.33,5,1,1,0,Festivo,Verano,Resto del año,Q1 (bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-01,El Bosque,El Bosque,Sur,Urbana de fondo,16.36,30.7,37.0,62.1,41.35,113.6,21.41,56.22,1016.39,2.35,218.72,430.0,3957.08,0.0,0.0,0.29,5,1,1,0,Festivo,Verano,Resto del año,Q1 (bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-01,Independencia,Independencia,Centro,Urbana de tráfico,12.82,32.1,31.59,61.9,39.52,100.0,21.67,56.56,1016.43,2.58,229.59,433.04,4028.88,0.0,0.0,0.42,5,1,1,0,Festivo,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-01,La Florida,La Florida,Sur,Urbana de fondo,12.82,30.1,30.98,61.5,36.38,100.9,21.79,58.72,1016.24,2.4,223.6,462.91,4047.33,0.0,0.0,0.29,5,1,1,0,Festivo,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-01,Las Condes,Las Condes,Oriente,Urbana de fondo,9.09,28.2,23.69,50.5,38.46,108.9,21.54,56.44,1016.82,1.9,219.1,422.17,3934.83,0.0,0.0,0.38,5,1,1,0,Festivo,Verano,Resto del año,Q5 (alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-01,Providencia,Providencia,Oriente,Urbana de tráfico,7.75,24.3,22.57,50.2,39.95,106.2,22.04,60.67,1016.89,2.38,222.87,420.42,3991.38,0.0,0.0,0.33,5,1,1,0,Festivo,Verano,Resto del año,Q5 (alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-01,Pudahuel,Pudahuel,Poniente,Suburbana,11.25,28.0,28.88,52.2,38.72,107.7,21.92,56.56,1017.15,2.86,221.84,422.17,3990.04,0.0,0.0,0.12,5,1,1,0,Festivo,Verano,Resto del año,Q2 (medio-bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-01,Puente Alto,Puente Alto,Sur,Suburbana,12.77,33.4,30.33,60.6,37.24,106.7,21.14,55.5,1016.39,2.4,232.24,431.48,3983.83,2.8,2.8,0.21,5,1,1,0,Festivo,Verano,Resto del año,Q3 (medio),Bueno,Bueno,Bajo,0,0,0,0
2022-01-01,Quilicura,Quilicura,Norte,Urbana de tráfico,12.94,30.3,31.93,61.8,39.48,101.0,21.4,56.87,1018.76,2.88,226.03,427.79,3957.88,0.0,0.0,0.29,5,1,1,0,Festivo,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-01,Talagante,Talagante,Poniente,Suburbana,10.93,26.0,27.6,52.8,41.35,111.5,21.05,55.95,1016.34,2.25,229.18,441.35,3988.67,0.0,0.0,0.25,5,1,1,0,Festivo,Verano,Resto del año,Q3 (medio),Bueno,Bueno,Bajo,0,0,0,0
2022-01-02,Cerrillos,Cerrillos,Poniente,Urbana de tráfico,16.53,40.8,37.81,84.8,39.36,120.3,21.48,57.14,1017.38,2.7,224.53,409.54,3968.75,0.0,0.0,0.29,6,1,0,0,Fin de semana,Verano,Resto del año,Q2 (medio-bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-02,Cerro Navia,Cerro Navia,Poniente,Urbana de fondo,21.73,45.2,45.67,79.8,40.33,114.4,21.72,56.57,1017.35,2.21,224.86,416.58,4036.54,0.0,0.0,0.29,6,1,0,0,Fin de semana,Verano,Resto del año,Q1 (bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-02,El Bosque,El Bosque,Sur,Urbana de fondo,18.55,34.4,41.55,61.1,38.48,108.9,22.4,53.69,1016.63,2.78,227.9,423.46,4071.12,0.0,0.0,0.38,6,1,0,0,Fin de semana,Verano,Resto del año,Q1 (bajo),Bueno,Bueno,Bajo,0,0,0,0
2022-01-02,Independencia,Independencia,Centro,Urbana de tráfico,16.14,34.4,35.34,65.9,39.11,112.9,21.81,57.65,1018.63,2.61,232.81,427.67,3985.04,0.0,0.0,0.25,6,1,0,0,Fin de semana,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
2022-01-02,La Florida,La Florida,Sur,Urbana de fondo,13.26,40.8,33.48,77.8,37.08,93.7,21.32,57.7,1017.1,2.98,220.0,444.3,3985.88,0.0,0.0,0.33,6,1,0,0,Fin de semana,Verano,Resto del año,Q4 (medio-alto),Bueno,Bueno,Bajo,0,0,0,0
