dimension,grupo,n,positivos,prevalencia,recall,precision,f1,roc_auc,pr_auc,brier
zona_geografica,Norte,430.0,44.0,0.10232558139534884,0.8409090909090909,0.5967741935483871,0.6981132075471698,0.9679109750353273,0.6959508116457884,0.05129361594161278
zona_geografica,Poniente,1293.0,167.0,0.12915699922660479,0.9520958083832335,0.7130044843049327,0.8153846153846154,0.9858409291541251,0.8858000962588478,0.034691151719292365
zona_geografica,Sur,432.0,26.0,0.06018518518518518,1.0,0.325,0.49056603773584906,0.9875899962106859,0.7799679588306773,0.06677355283996972
nivel_socioeconomico,Q1 (bajo),428.0,61.0,0.1425233644859813,1.0,0.6931818181818182,0.8187919463087249,0.993165676508688,0.9436351606028937,0.03219181147888894
nivel_socioeconomico,Q2 (medio-bajo),433.0,57.0,0.13163972286374134,0.9649122807017544,0.6547619047619048,0.7801418439716312,0.9840658827920866,0.858422264548218,0.04292625751635585
nivel_socioeconomico,Q3 (medio),864.0,75.0,0.08680555555555555,0.92,0.5267175572519084,0.6699029126213593,0.9711871567384875,0.728769002787389,0.0478433671092192
nivel_socioeconomico,Q4 (medio-alto),430.0,44.0,0.10232558139534884,0.8409090909090909,0.5967741935483871,0.6981132075471698,0.9679109750353273,0.6959508116457884,0.05129361594161278
estacion_anio,Invierno,453.0,188.0,0.41501103752759383,0.9468085106382979,0.6666666666666666,0.7824175824175824,0.9043054997992774,0.8385490991997545,0.14337675491845342
estacion_anio,Otoño,442.0,49.0,0.11085972850678733,0.8979591836734694,0.4631578947368421,0.6111111111111112,0.959754894324142,0.7614115205213199,0.06761924427396979
estacion_anio,Primavera,667.0,0.0,0.0,,,,,,
estacion_anio,Verano,593.0,0.0,0.0,,,,,,
comuna,Cerrillos,433.0,57.0,0.13163972286374134,0.9649122807017544,0.6547619047619048,0.7801418439716312,0.9840658827920866,0.858422264548218,0.04292625751635585
comuna,Cerro Navia,428.0,61.0,0.1425233644859813,1.0,0.6931818181818182,0.8187919463087249,0.993165676508688,0.9436351606028937,0.03219181147888894
comuna,Puente Alto,432.0,26.0,0.06018518518518518,1.0,0.325,0.49056603773584906,0.9875899962106859,0.7799679588306773,0.06677355283996972
comuna,Quilicura,430.0,44.0,0.10232558139534884,0.8409090909090909,0.5967741935483871,0.6981132075471698,0.9679109750353273,0.6959508116457884,0.05129361594161278
comuna,Talagante,432.0,49.0,0.11342592592592593,0.8775510204081632,0.8431372549019608,0.86,0.992007246762935,0.934195502052739,0.0289131813784687
