umbral,precision,recall,f1,f2,costo,tn,fp,fn,tp
0.02,0.6199460916442049,0.9967497291440953,0.7644370585791441,0.8887171561051005,579.0,4963,564,3,920
0.025,0.630568882796436,0.9967497291440953,0.7724601175482787,0.8930304795185401,554.0,4988,539,3,920
0.03,0.6380027739251041,0.9967497291440953,0.7780126849894292,0.8959875340864822,537.0,5005,522,3,920
0.035,0.6492589978828511,0.9967497291440953,0.7863247863247863,0.900371892738305,512.0,5030,497,3,920
0.04,0.6609195402298851,0.9967497291440953,0.7948164146868251,0.9047993705743509,487.0,5055,472,3,920
0.045,0.6700655498907502,0.9967497291440953,0.8013937282229965,0.9081934846989141,468.0,5074,453,3,920
0.05,0.6804733727810651,0.9967497291440953,0.8087912087912088,0.9119746233148295,447.0,5095,432,3,920
0.05500000000000001,0.6894223555888972,0.9956663055254604,0.8147163120567376,0.9144278606965174,434.0,5113,414,4,919
0.06,0.6959818043972706,0.9945828819068255,0.8189116859946476,0.9159848333665935,426.0,5126,401,5,918
0.065,0.7032208588957055,0.9934994582881906,0.8235294117647058,0.9177341873498799,417.0,5140,387,6,917
0.07,0.7081081081081081,0.9934994582881906,0.8268710550045085,0.9193904150792059,408.0,5149,378,6,917
0.075,0.7147310989867498,0.9934994582881906,0.8313689936536718,0.9216080402010051,396.0,5161,366,6,917
0.08,0.7193396226415094,0.991332611050921,0.8337129840546698,0.9216357775987107,397.0,5170,357,8,915
0.085,0.7242472266244057,0.9902491874322861,0.8366132723112129,0.922486879289463,393.0,5179,348,9,914
0.09000000000000001,0.7317854283426741,0.9902491874322861,0.8416206261510129,0.9249139850232746,380.0,5192,335,9,914
0.095,0.740080971659919,0.9902491874322861,0.8470806302131604,0.9275421148772073,366.0,5206,321,9,914
0.1,0.7461224489795918,0.9902491874322861,0.851024208566108,0.9294285133211307,356.0,5216,311,9,914
0.10500000000000001,0.7491803278688525,0.9902491874322861,0.8530097993467102,0.9303745928338762,351.0,5221,306,9,914
0.11,0.7559966914805625,0.9902491874322861,0.8574108818011257,0.9324627627014895,340.0,5232,295,9,914
0.115,0.75850622406639,0.9902491874322861,0.8590225563909775,0.9332244231161936,336.0,5236,291,9,914
0.12000000000000001,0.7610324729392173,0.9902491874322861,0.8606403013182674,0.9339873288371142,332.0,5240,287,9,914
0.125,0.7646566164154104,0.9891657638136512,0.8625413320736892,0.9343020875972166,331.0,5246,281,10,913
0.13,0.7672268907563026,0.9891657638136512,0.8641741599621391,0.9350675952478492,327.0,5250,277,10,913
0.135,0.772419627749577,0.9891657638136512,0.867458432304038,0.9366023799753795,319.0,5258,269,10,913
0.13999999999999999,0.7783461210571185,0.9891657638136512,0.8711832061068703,0.9383350462487153,310.0,5267,260,10,913
0.145,0.7801539777587682,0.9880823401950163,0.8718929254302104,0.9380785846533635,312.0,5270,257,11,912
0.15,0.7862068965517242,0.9880823401950163,0.8756601056168987,0.9398186314921682,303.0,5279,248,11,912
0.155,0.7889273356401384,0.9880823401950163,0.8773448773448773,0.9405940594059405,299.0,5283,244,11,912
0.16,0.7949389179755671,0.9869989165763814,0.8806186563557274,0.9415047540305912,295.0,5292,235,12,911
0.16499999999999998,0.7970253718285214,0.9869989165763814,0.8818973862536302,0.9420889348500517,292.0,5295,232,12,911
0.16999999999999998,0.8014121800529568,0.9837486457204767,0.8832684824902723,0.9409326424870467,300.0,5302,225,15,908
0.175,0.8049645390070922,0.9837486457204767,0.8854217454900049,0.941908713692946,295.0,5307,220,15,908
0.18,0.8062222222222222,0.9826652221018418,0.8857421875,0.9414573385924849,298.0,5309,218,16,907
0.185,0.8074866310160428,0.9815817984832069,0.8860635696821516,0.9410054009140009,301.0,5311,216,17,906
0.19,0.8131176999101527,0.980498374864572,0.8889980353634578,0.9417273673257024,298.0,5319,208,18,905
0.195,0.8153153153153153,0.980498374864572,0.8903098868666994,0.9423157017909205,295.0,5322,205,18,905
0.19999999999999998,0.8160504959422904,0.980498374864572,0.890748031496063,0.9425119766715268,294.0,5323,204,18,905
0.205,0.8188405797101449,0.9794149512459371,0.8919585594474593,0.9424520433694745,295.0,5327,200,19,904
0.21,0.8201634877384196,0.9783315276273022,0.892292490118577,0.9419987481744211,298.0,5329,198,20,903
0.215,0.8201634877384196,0.9783315276273022,0.892292490118577,0.9419987481744211,298.0,5329,198,20,903
0.22,0.8214936247723132,0.9772481040086674,0.892627412172192,0.941544885177453,301.0,5331,196,21,902
0.225,0.823583180987203,0.9761646803900325,0.8934060485870104,0.9412870873380693,303.0,5334,193,22,901
0.22999999999999998,0.8258478460128322,0.9761646803900325,0.8947368421052632,0.9418774827514113,300.0,5337,190,22,901
0.235,0.8294930875576036,0.9750812567713976,0.896414342629482,0.9420138162026377,300.0,5342,185,23,900
0.24,0.8331788693234476,0.9739978331527628,0.8981018981018981,0.9421504925592119,300.0,5347,180,24,899
0.245,0.8336431226765799,0.971830985915493,0.897448724362181,0.9406459731543624,309.0,5348,179,26,897
0.25,0.8403755868544601,0.9696641386782232,0.9004024144869215,0.940718940508724,310.0,5357,170,28,895
0.255,0.8467360454115421,0.9696641386782232,0.9040404040404041,0.9423036428721836,302.0,5365,162,28,895
0.26,0.8499525166191833,0.9696641386782232,0.9058704453441295,0.9430979978925185,298.0,5369,158,28,895
0.265,0.8522402287893232,0.9685807150595883,0.9066937119675457,0.9428390634887155,300.0,5372,155,29,894
0.27,0.8537284894837476,0.9674972914409534,0.9070594210259014,0.9423807513718869,303.0,5374,153,30,893
0.275,0.8542665388302972,0.9653304442036836,0.9064089521871821,0.9408658922914467,312.0,5375,152,32,891
0.28,0.8546679499518768,0.962080173347779,0.9051987767584098,0.9384908053265695,326.0,5376,151,35,888
0.28500000000000003,0.8543876567020251,0.9599133261105092,0.9040816326530612,0.936773102135758,336.0,5376,151,37,886
0.29000000000000004,0.8576960309777347,0.9599133261105092,0.9059304703476483,0.9375661375661376,332.0,5380,147,37,886
0.29500000000000004,0.858252427184466,0.9577464788732394,0.905273937532002,0.9360440491317239,341.0,5381,146,39,884
0.30000000000000004,0.8623046875,0.9566630552546046,0.9070364663585002,0.9361747243426632,341.0,5386,141,40,883
0.30500000000000005,0.8639921722113503,0.9566630552546046,0.9079691516709512,0.9365719134492999,339.0,5388,139,40,883
0.31,0.8647058823529412,0.9555796316359697,0.9078744209984559,0.9359083191850595,343.0,5389,138,41,882
0.315,0.8654223968565815,0.9544962080173348,0.9077794951056156,0.935244161358811,347.0,5390,137,42,881
0.32,0.8667324777887463,0.9512459371614301,0.9070247933884298,0.9330499468650372,360.0,5392,135,45,878
0.325,0.8673267326732673,0.9490790899241603,0.9063631660631143,0.931518502764781,369.0,5393,134,47,876
0.33,0.8696517412935323,0.9469122426868906,0.9066390041493776,0.9303810943155205,376.0,5396,131,49,874
0.335,0.8705179282868526,0.9469122426868906,0.9071094966268811,0.9305792163543442,375.0,5397,130,49,874
0.34,0.8711288711288712,0.9447453954496208,0.9064449064449065,0.929043255913062,384.0,5398,129,51,872
0.34500000000000003,0.8734939759036144,0.942578548212351,0.9067222511724856,0.927901023890785,391.0,5401,126,53,870
0.35000000000000003,0.8734939759036144,0.942578548212351,0.9067222511724856,0.927901023890785,391.0,5401,126,53,870
0.35500000000000004,0.8752515090543259,0.942578548212351,0.9076682316118936,0.9282970550576184,389.0,5403,124,53,870
0.36000000000000004,0.8747474747474747,0.9382448537378115,0.9053842132775745,0.9248184536522853,409.0,5403,124,57,866
0.36500000000000005,0.8755060728744939,0.9371614301191766,0.9052851909994767,0.9241452991452992,413.0,5404,123,58,865
0.37000000000000005,0.8772819472616633,0.9371614301191766,0.9062336301728654,0.9245404018811458,411.0,5406,121,58,865
0.375,0.8770325203252033,0.9349945828819068,0.9050865233350813,0.9227972626176218,421.0,5406,121,60,863
0.38,0.8776758409785933,0.9328277356446371,0.9044117647058824,0.9212497325058848,430.0,5407,120,62,861
0.385,0.8776758409785933,0.9328277356446371,0.9044117647058824,0.9212497325058848,430.0,5407,120,62,861
0.39,0.8784473953013279,0.9317443120260022,0.9043112513144059,0.9205737529436951,434.0,5408,119,63,860
0.395,0.8790983606557377,0.9295774647887324,0.9036334913112164,0.9190231362467867,443.0,5409,118,65,858
0.4,0.8806584362139918,0.9274106175514626,0.9034300791556729,0.9176672384219554,451.0,5411,116,67,856
0.405,0.8817427385892116,0.9209100758396533,0.9009009009009009,0.9128006872852233,479.0,5413,114,73,850
0.41000000000000003,0.881619937694704,0.9198266522210184,0.9003181336161188,0.9119226638023631,484.0,5413,114,74,849
0.41500000000000004,0.882414151925078,0.9187432286023836,0.9002123142250531,0.9112400601762304,488.0,5414,113,75,848
0.42000000000000004,0.8850574712643678,0.9176598049837487,0.9010638297872341,0.9109485910948592,490.0,5417,110,76,847
0.42500000000000004,0.8869109947643979,0.9176598049837487,0.9020234291799787,0.9113406498816441,488.0,5419,108,76,847
0.43000000000000005,0.8874868559411146,0.914409534127844,0.9007470651013874,0.908895110919664,502.0,5420,107,79,844
0.43500000000000005,0.8881856540084389,0.9122426868905742,0.900053447354356,0.9073275862068966,511.0,5421,106,81,842
0.44,0.8891235480464625,0.9122426868905742,0.9005347593582887,0.9075231730976504,510.0,5422,105,81,842
0.445,0.8886532343584306,0.9079089924160346,0.8981779206859593,0.9039913700107874,530.0,5422,105,85,838
0.45,0.8894792773645058,0.9068255687973997,0.898068669527897,0.903302395855817,534.0,5423,104,86,837
0.455,0.8913738019169329,0.9068255687973997,0.8990332975295381,0.9036925070179227,532.0,5425,102,86,837
0.46,0.8912579957356077,0.905742145178765,0.8984416980118216,0.9028077753779697,537.0,5425,102,87,836
0.465,0.8928188638799571,0.9024918743228603,0.8976293103448276,0.9005405405405406,550.0,5427,100,90,833
0.47000000000000003,0.8947368421052632,0.9024918743228603,0.8985976267529665,0.9009301319489509,548.0,5429,98,90,833
0.47500000000000003,0.8942826321467098,0.8981581798483207,0.8962162162162162,0.8973803853647976,568.0,5429,98,94,829
0.48000000000000004,0.8947939262472885,0.8938244853737811,0.8943089430894309,0.8940182054616385,587.0,5430,97,98,825
0.48500000000000004,0.8966267682263329,0.8927410617551462,0.8946796959826275,0.8935155063977446,590.0,5432,95,99,824
0.49000000000000005,0.8964013086150491,0.8905742145178764,0.8934782608695652,0.891733564764591,600.0,5432,95,101,822
0.49500000000000005,0.8972677595628415,0.8894907908992417,0.8933623503808488,0.8910353809420447,604.0,5433,94,102,821
0.5,0.8970427163198248,0.8873239436619719,0.8921568627450981,0.8892508143322475,614.0,5433,94,104,819
0.505,0.8968166849615807,0.8851570964247021,0.8909487459105779,0.8874646969367803,624.0,5433,94,106,817
0.51,0.8978021978021978,0.8851570964247021,0.8914348063284233,0.887657540199913,623.0,5434,93,106,817
0.515,0.8976897689768977,0.8840736728060672,0.8908296943231441,0.8867637470115193,628.0,5434,93,107,816
0.52,0.8995584988962473,0.8829902491874323,0.8911973756150902,0.8862548934319269,631.0,5436,91,108,815
0.525,0.8992248062015504,0.8797399783315276,0.8893756845564075,0.8835690968443961,646.0,5436,91,111,812
0.53,0.8987764182424917,0.875406283856988,0.8869374313940724,0.8799825746024831,666.0,5436,91,115,808
0.535,0.8987764182424917,0.875406283856988,0.8869374313940724,0.8799825746024831,666.0,5436,91,115,808
0.54,0.8987764182424917,0.875406283856988,0.8869374313940724,0.8799825746024831,666.0,5436,91,115,808
0.545,0.8986636971046771,0.8743228602383532,0.886326194398682,0.8790849673202614,671.0,5436,91,116,807
0.55,0.899103139013453,0.8689057421451788,0.8837465564738292,0.87478184991274,695.0,5437,90,121,802
0.555,0.8987626546681665,0.8656554712892741,0.8818984547461368,0.8720803318052827,710.0,5437,90,124,799
0.56,0.8990929705215419,0.8591549295774648,0.8786703601108034,0.8668561434193266,739.0,5438,89,130,793
0.5650000000000001,0.9001135073779796,0.8591549295774648,0.8791574279379157,0.8670457030395802,738.0,5439,88,130,793
0.5700000000000001,0.9009111617312073,0.856988082340195,0.8784008883953359,0.8654266958424508,747.0,5440,87,132,791
0.5750000000000001,0.9018264840182648,0.8559046587215602,0.8782657031684269,0.8647110332749562,751.0,5441,86,133,790
0.5800000000000001,0.9037800687285223,0.8548212351029253,0.878619153674833,0.864184008762322,754.0,5443,84,134,789
0.5850000000000001,0.9035591274397244,0.8526543878656555,0.8773690078037905,0.8623712469866316,764.0,5443,84,136,787
0.5900000000000001,0.9040462427745665,0.847237269772481,0.8747203579418344,0.858020627605881,788.0,5444,83,141,782
0.5950000000000001,0.9037122969837587,0.8439869989165764,0.8728291316526611,0.8552920509442249,803.0,5444,83,144,779
0.6,0.9031505250875146,0.838569880823402,0.8696629213483146,0.8507364255880413,828.0,5444,83,149,774
0.605,0.9030373831775701,0.8374864572047671,0.8690275435637999,0.8498240985048373,833.0,5444,83,150,773
0.61,0.9030373831775701,0.8374864572047671,0.8690275435637999,0.8498240985048373,833.0,5444,83,150,773
0.615,0.9036427732079906,0.8331527627302275,0.8669673055242391,0.8463570327977108,852.0,5445,82,154,769
