fecha;estacion;comuna;MP2.5;MP10;temperatura;humedad;presion;viento;radiacion;inversion_termica;dia_semana;es_finde;es_festivo
01-01-2022 00:00;Pudahuel;Pudahuel;20,9;47,3;20,2;51,9;1016,9;1,9;35,0;1;5;1;1
01-01-2022 01:00;Pudahuel;Pudahuel;5,1;19,1;17,2;57,3;1019,4;2,9;28,0;0;5;1;1
01-01-2022 02:00;Pudahuel;Pudahuel;5,0;18,8;14,6;56,1;1016,3;2,7;52,0;0;5;1;1
01-01-2022 03:00;Pudahuel;Pudahuel;2,0;14,1;14,5;59,7;1014,5;3,4;0,0;0;5;1;1
01-01-2022 04:00;Pudahuel;Pudahuel;11,9;27,7;16,8;54,9;1020,6;0,9;2,0;0;5;1;1
01-01-2022 05:00;Pudahuel;Pudahuel;17,8;34,0;18,0;58,0;1014,0;0,7;0,0;0;5;1;1
01-01-2022 06:00;Pudahuel;Pudahuel;2,0;24,9;11,6;49,7;1012,7;8,3;0,0;0;5;1;1
01-01-2022 07:00;Pudahuel;Pudahuel;27,1;46,5;15,6;60,0;1019,6;0,4;0,0;0;5;1;1
01-01-2022 08:00;Pudahuel;Pudahuel;3,7;19,0;20,9;62,2;1014,5;4,6;346,0;0;5;1;1
01-01-2022 09:00;Pudahuel;Pudahuel;19,9;44,8;22,0;65,0;1018,2;2,4;651,0;0;5;1;1
01-01-2022 10:00;Pudahuel;Pudahuel;16,4;38,0;25,7;61,9;1012,1;2,3;916,0;0;5;1;1
01-01-2022 11:00;Pudahuel;Pudahuel;11,4;28,4;28,5;49,3;1014,9;2,9;1152,0;0;5;1;1
01-01-2022 12:00;Pudahuel;Pudahuel;14,8;34,6;23,7;;1019,8;2,2;1248,0;1;5;1;1
01-01-2022 13:00;Pudahuel;Pudahuel;2,0;17,1;27,3;44,3;1018,1;4,1;1304,0;0;5;1;1
01-01-2022 14:00;Pudahuel;Pudahuel;2,0;18,6;30,9;45,7;1014,7;5,1;1230,0;0;5;1;1
01-01-2022 15:00;Pudahuel;Pudahuel;2,9;15,1;30,5;55,7;1016,7;2,6;1180,0;0;5;1;1
01-01-2022 16:00;Pudahuel;Pudahuel;5,3;18,9;27,7;48,6;1018,1;2,1;935,0;0;5;1;1
01-01-2022 17:00;Pudahuel;Pudahuel;2,0;16,5;27,3;63,4;1019,4;4,7;693,0;0;5;1;1
01-01-2022 18:00;Pudahuel;Pudahuel;7,3;21,7;28,6;62,7;1018,6;2,5;321,0;0;5;1;1
01-01-2022 19:00;Pudahuel;Pudahuel;21,1;39,9;23,7;51,7;1016,4;1,6;13,0;0;5;1;1
01-01-2022 20:00;Pudahuel;Pudahuel;13,2;30,8;24,0;68,1;1020,2;3,5;8,0;0;5;1;1
01-01-2022 21:00;Pudahuel;Pudahuel;28,0;52,2;24,6;56,5;1019,8;2,2;5,0;1;5;1;1
01-01-2022 22:00;Pudahuel;Pudahuel;19,3;39,6;17,0;70,8;1021,2;2,5;0,0;0;5;1;1
01-01-2022 23:00;Pudahuel;Pudahuel;8,8;25,4;15,3;47,3;1014,8;2,2;13,0;0;5;1;1
02-01-2022 00:00;Pudahuel;Pudahuel;6,1;21,4;18,8;60,0;1020,7;3,8;0,0;0;6;1;0
02-01-2022 01:00;Pudahuel;Pudahuel;5,7;23,2;14,0;57,0;1017,8;4,4;0,0;1;6;1;0
02-01-2022 02:00;Pudahuel;Pudahuel;22,0;40,9;14,3;74,6;1014,7;0,5;27,0;0;6;1;0
02-01-2022 03:00;Pudahuel;Pudahuel;42,7;77,9;11,7;62,0;1008,6;0,2;0,0;1;6;1;0
02-01-2022 04:00;Pudahuel;Pudahuel;11,1;28,0;14,3;50,4;1025,6;1,8;0,0;0;6;1;0
02-01-2022 05:00;Pudahuel;Pudahuel;31,0;56,9;17,0;;1021,7;0,5;38,0;0;6;1;0
02-01-2022 06:00;Pudahuel;Pudahuel;50,3;87,2;18,2;61,9;1019,5;0,2;4,0;1;6;1;0
02-01-2022 07:00;Pudahuel;Pudahuel;5,4;22,6;19,8;57,8;1017,2;4,3;0,0;0;6;1;0
02-01-2022 08:00;Pudahuel;Pudahuel;39,8;84,0;17,1;56,0;1017,8;2,3;355,0;1;6;1;0
02-01-2022 09:00;Pudahuel;Pudahuel;29,9;55,2;20,9;54,1;1016,9;2,0;629,0;0;6;1;0
02-01-2022 10:00;Pudahuel;Pudahuel;29,1;67,5;22,2;52,7;1014,8;3,8;876,0;1;6;1;0
02-01-2022 11:00;Pudahuel;Pudahuel;5,1;19,4;25,0;46,9;1014,2;2,6;1129,0;0;6;1;0
02-01-2022 12:00;Pudahuel;Pudahuel;2,0;18,2;29,0;50,8;1014,7;4,9;1334,0;0;6;1;0
02-01-2022 13:00;Pudahuel;Pudahuel;2,0;15,8;28,5;41,4;1014,9;3,4;1296,0;0;6;1;0
02-01-2022 14:00;Pudahuel;Pudahuel;14,0;30,8;28,3;57,7;1014,4;1,8;1248,0;0;6;1;0
02-01-2022 15:00;Pudahuel;Pudahuel;2,0;16,1;29,2;45,0;1017,0;3,6;1124,0;0;6;1;0
02-01-2022 16:00;Pudahuel;Pudahuel;7,0;23,3;30,5;53,7;1019,3;3,0;910,0;0;6;1;0
02-01-2022 17:00;Pudahuel;Pudahuel;18,4;41,7;27,9;65,8;1018,1;2,1;621,0;0;6;1;0
02-01-2022 18:00;Pudahuel;Pudahuel;5,7;20,0;27,9;32,2;1015,0;2,1;378,0;0;6;1;0
02-01-2022 19:00;Pudahuel;Pudahuel;25,8;55,5;24,5;65,2;1012,1;2,8;0,0;1;6;1;0
02-01-2022 20:00;Pudahuel;Pudahuel;;59,0;23,7;55,8;1015,4;1,9;47,0;0;6;1;0
02-01-2022 21:00;Pudahuel;Pudahuel;36,6;64,2;21,1;40,9;1017,8;1,3;40,0;0;6;1;0
02-01-2022 22:00;Pudahuel;Pudahuel;31,5;57,3;21,6;54,0;1019,5;1,3;4,0;0;6;1;0
02-01-2022 23:00;Pudahuel;Pudahuel;36,2;66,7;18,4;61,5;1016,2;1,3;0,0;0;6;1;0
03-01-2022 00:00;Pudahuel;Pudahuel;25,8;56,0;14,2;60,0;1016,6;2,8;0,0;1;0;0;0
03-01-2022 01:00;Pudahuel;Pudahuel;22,6;41,5;13,6;66,6;1020,7;0,9;;0;0;0;0
03-01-2022 02:00;Pudahuel;Pudahuel;30,9;57,1;14,3;59,0;1019,0;0,2;0,0;0;0;0;0
03-01-2022 03:00;Pudahuel;Pudahuel;44,1;76,4;15,1;52,8;1016,5;0,6;52,0;1;0;0;0
03-01-2022 04:00;Pudahuel;Pudahuel;29,3;58,6;18,7;52,6;1017,7;1,7;15,0;1;0;0;0
03-01-2022 05:00;Pudahuel;Pudahuel;48,1;81,1;16,9;74,1;;0,9;10,0;1;0;0;0
03-01-2022 06:00;Pudahuel;Pudahuel;37,2;63,4;15,8;75,2;1016,8;1,7;0,0;0;0;0;0
03-01-2022 07:00;Pudahuel;Pudahuel;62,7;119,1;20,2;55,7;1017,4;1,1;0,0;1;0;0;0
03-01-2022 08:00;Pudahuel;Pudahuel;;85,0;22,4;56,8;1019,0;0,8;264,0;0;0;0;0
03-01-2022 09:00;Pudahuel;Pudahuel;30,9;60,4;21,9;66,7;1009,9;1,1;663,0;0;0;0;0
03-01-2022 10:00;Pudahuel;Pudahuel;37,3;71,2;25,7;57,5;1017,0;1,3;893,0;0;0;0;0
03-01-2022 11:00;Pudahuel;Pudahuel;41,6;71,5;23,0;60,4;1018,5;1,6;1157,0;1;0;0;0
03-01-2022 12:00;Pudahuel;Pudahuel;9,0;29,0;30,3;53,2;1020,1;3,9;1248,0;0;0;0;0
03-01-2022 13:00;Pudahuel;Pudahuel;24,3;46,1;26,4;49,5;1010,5;1,7;1330,0;0;0;0;0
03-01-2022 14:00;Pudahuel;Pudahuel;10,4;26,6;29,1;53,5;1017,2;2,8;1276,0;0;0;0;0
03-01-2022 15:00;Pudahuel;Pudahuel;9,1;26,2;25,9;50,5;1017,6;3,3;1133,0;0;0;0;0
03-01-2022 16:00;Pudahuel;Pudahuel;2,0;14,8;29,5;59,0;1017,0;3,8;884,0;0;0;0;0
03-01-2022 17:00;Pudahuel;Pudahuel;2,0;18,9;29,3;37,1;1020,2;4,7;640,0;0;0;0;0
03-01-2022 18:00;Pudahuel;Pudahuel;24,7;46,8;22,0;57,5;1013,1;2,3;326,0;0;0;0;0
03-01-2022 19:00;Pudahuel;Pudahuel;26,7;;25,3;66,1;1015,8;1,8;0,0;0;0;0;0
03-01-2022 20:00;Pudahuel;Pudahuel;25,9;46,5;22,5;73,2;1015,7;2,2;54,0;0;0;0;0
03-01-2022 21:00;Pudahuel;Pudahuel;20,1;40,2;22,8;50,0;1016,5;2,4;16,0;0;0;0;0
