"Archivo","Cambios"
"notebooks/01_analisis_estadistico_diario.ipynb","11"
"README.md","9"
"figures/fig6_rosa_vientos.png","6"
"CHANGELOG.md","5"
"data/agregar_diario.py","5"
"figures/d2_categoricas.png","5"
"data/calidad_aire_santiago.csv","5"
"figures/fig8_areas_verdes.png","4"
"figures/fig1_distribuciones.png","4"
"data/calidad_aire_diario.csv","4"
"figures/d3_correlacion.png","4"
"figures/d7_evolucion_anual.png","4"
"data/enriquecer_dataset.py","4"
"figures/d6_intervalos.png","4"
"figures/d5_inequidad.png","4"
"figures/fig5_bivariado.png","4"
"figures/fig7_tipo_dia.png","4"
"requirements.txt","4"
"figures/d4_bivariado.png","4"
"figures/fig4_correlacion.png","4"
"figures/fig3_categoricas.png","4"
"figures/fig2_boxplot_zona.png","4"
"figures/fig9_intervalos.png","4"
"figures/d1_distribuciones.png","4"
".gitignore","3"
"figures/f3_flujo_caja.png","2"
"figures/f3_montecarlo.png","2"
"figures/infografia_5_variables.png","2"
"figures/fig9_meteo_sinoptica.png","2"
"figures/f3_importancia.png","2"
"figures/fig3_criticos_comuna.png","2"
"reports/Informe_Tecnico_Sumativa1.pdf","2"
"figures/fig6_intervalos_confianza.png","2"
"figures/fig8_rosa_vientos.png","2"
"GUIA_GIT.md","2"
"figures/f3_costos.png","2"
"figures/fig7_areas_verdes.png","2"
"reports/.gitkeep","2"
"notebooks/01_analisis_calidad_aire.ipynb","2"
"figures/f3_sensibilidad.png","2"
"figures/fig10_nuevas_variables.png","2"
"figures/tabla_5_variables.png","2"
"figures/fig2_boxplots_estacion.png","2"
"reports/Informe_Fase3_Evaluacion_Economica.docx","2"
"CONTRIBUTING.md","2"
".mailmap","2"
"figures/f3_modelo_roc.png","2"
"data/sinca_santiago.csv","1"
"notebooks/_version_horaria_obsoleta/LEER.md","1"
"notebooks/_version_horaria_obsoleta/01_analisis_calidad_aire.ipynb","1"
