contexto,nivel_auditoria,ajuste_validado,estado_auditoria,n_avisos_capturados,categorias,mensajes,error,_orden_registro
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,0
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,1
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,2
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,3
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,4
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,5
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,6
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,7
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,8
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,9
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,10
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,11
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,12
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,13
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,14
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,15
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,16
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,17
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,18
selección GLM (regresion; 1 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,19
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,20
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,21
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,22
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,23
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,24
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,25
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,26
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,27
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,28
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,29
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,30
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,31
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,32
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,33
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,34
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,35
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,36
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,37
selección GLM (regresion; 2 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,38
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,39
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,40
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,41
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,42
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,43
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,44
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,45
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,46
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,47
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,48
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,49
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,50
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,51
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,52
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,53
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,54
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,55
selección GLM (regresion; 3 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,56
selección GLM (regresion; 4 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,57
selección GLM (regresion; 4 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,58
selección GLM (regresion; 4 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,59
selección GLM (regresion; 4 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,60
selección GLM (regresion; 4 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,61
selección GLM (regresion; 4 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,62
selección GLM (regresion; 4 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,63
selección GLM (regresion; 4 variables),exploratorio,False,RECHAZO_EXPLORATORIO_CONTROLADO,0,,,selección GLM (regresion; 4 variables): el GLM no convergió.,64
selección GLM (regresion; 4 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,65
selección GLM (regresion; 4 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,66
selección GLM (regresion; 4 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,67
selección GLM (regresion; 4 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,68
selección GLM (regresion; 4 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,69
selección GLM (regresion; 4 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,70
selección GLM (regresion; 4 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,71
selección GLM (regresion; 4 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,72
selección GLM (regresion; 4 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,73
selección GLM (regresion; 20 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,74
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,75
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,76
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,77
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,78
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,79
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,80
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,81
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,82
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,83
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,84
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,85
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,86
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,87
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,88
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,89
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,90
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,91
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,92
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,93
selección GLM (regresion; 19 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,94
selección GLM (regresion; 18 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,95
selección GLM (regresion; 18 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,96
selección GLM (regresion; 18 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,97
selección GLM (regresion; 18 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,98
selección GLM (regresion; 18 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,99
selección GLM (regresion; 18 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,100
selección GLM (regresion; 18 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,101
selección GLM (regresion; 18 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,102
selección GLM (regresion; 18 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,103
selección GLM (regresion; 18 variables),exploratorio,True,VALIDADO_EXPLORATORIO,0,,,,104
