variable,n_faltantes,porcentaje_faltantes,tipo
nivel_contaminacion,4468,27.801630265695977,str
calidad_aire_mp25,4468,27.801630265695977,str
mp2_5_max,4468,27.801630265695977,float64
mp2_5_mean,4468,27.801630265695977,float64
mp10_mean,4432,27.577624292203346,float64
calidad_aire_mp10,4432,27.577624292203346,str
mp10_max,4432,27.577624292203346,float64
fecha,0,0.0,datetime64[us]
zona_geografica,0,0.0,str
comuna,0,0.0,str
estacion,0,0.0,str
tipo_estacion,0,0.0,str
humedad_mean,0,0.0,float64
presion_mean,0,0.0,float64
viento_mean,0,0.0,float64
direccion_viento,0,0.0,float64
radiacion_mean,0,0.0,float64
o3_mean,0,0.0,float64
o3_max,0,0.0,float64
temperatura_mean,0,0.0,float64
precipitacion_max,0,0.0,float64
precipitacion_sum,0,0.0,float64
isoterma_0_mean,0,0.0,float64
prop_inversion,0,0.0,float64
periodo_gec,0,0.0,int64
dia_semana,0,0.0,int64
es_finde,0,0.0,int64
es_festivo,0,0.0,int64
temporada_critica,0,0.0,str
estacion_anio,0,0.0,str
tipo_dia,0,0.0,str
nivel_socioeconomico,0,0.0,str
estaciones_en_episodio,0,0.0,int64
critico_mp25_dia,0,0.0,int64
critico_mp10_dia,0,0.0,int64
mala_calidad_mp25,0,0.0,int64
