dimension,grupo,n,positivos,prevalencia,recall,precision,f1,roc_auc,pr_auc,brier
zona_geografica,Norte,430.0,44.0,0.10232558139534884,0.8409090909090909,0.5967741935483871,0.6981132075471698,0.9692651907677815,0.7585514054963821,0.06744449924477035
zona_geografica,Poniente,1293.0,167.0,0.12915699922660479,0.9520958083832335,0.7162162162162162,0.8174807197943444,0.9868540007019709,0.9138697408215593,0.051506674808174474
zona_geografica,Sur,432.0,26.0,0.06018518518518518,1.0,0.325,0.49056603773584906,0.9893899204244032,0.857694148349465,0.11926704242026352
nivel_socioeconomico,Q1 (bajo),428.0,61.0,0.1425233644859813,1.0,0.6931818181818182,0.8187919463087249,0.9937017018805556,0.959429316032525,0.05898873099336716
nivel_socioeconomico,Q2 (medio-bajo),433.0,57.0,0.13163972286374134,0.9649122807017544,0.6547619047619048,0.7801418439716312,0.9871220604703247,0.9210242814555818,0.0691072232957062
nivel_socioeconomico,Q3 (medio),864.0,75.0,0.08680555555555555,0.92,0.5307692307692308,0.6731707317073171,0.9715927334178285,0.7527572721862035,0.07285982442166841
nivel_socioeconomico,Q4 (medio-alto),430.0,44.0,0.10232558139534884,0.8409090909090909,0.5967741935483871,0.6981132075471698,0.9692651907677815,0.7585514054963821,0.06744449924477035
estacion_anio,Invierno,453.0,188.0,0.41501103752759383,0.9468085106382979,0.6666666666666666,0.7824175824175824,0.914211160176636,0.888771550824141,0.2031821016680658
estacion_anio,Otoño,442.0,49.0,0.11085972850678733,0.8979591836734694,0.46808510638297873,0.6153846153846154,0.9597548943241418,0.7651746782806689,0.11828073307067906
estacion_anio,Primavera,667.0,0.0,0.0,,,,,,
estacion_anio,Verano,593.0,0.0,0.0,,,,,,
comuna,Cerrillos,433.0,57.0,0.13163972286374134,0.9649122807017544,0.6547619047619048,0.7801418439716312,0.9871220604703247,0.9210242814555818,0.0691072232957062
comuna,Cerro Navia,428.0,61.0,0.1425233644859813,1.0,0.6931818181818182,0.8187919463087249,0.9937017018805556,0.959429316032525,0.05898873099336716
comuna,Puente Alto,432.0,26.0,0.06018518518518518,1.0,0.325,0.49056603773584906,0.9893899204244032,0.857694148349465,0.11926704242026352
comuna,Quilicura,430.0,44.0,0.10232558139534884,0.8409090909090909,0.5967741935483871,0.6981132075471698,0.9692651907677815,0.7585514054963821,0.06744449924477035
comuna,Talagante,432.0,49.0,0.11342592592592593,0.8775510204081632,0.86,0.8686868686868687,0.992007246762935,0.934195502052739,0.026452606423073302
