archivo,uso
s3_consistencia_estructura_s1_s2.csv,36 columnas físicas versus 46 armonizadas.
s3_matriz_consistencia_s1_s2_s3.csv,Hilo conductor completo entre las tres fases.
s3_trazabilidad_reporte_s2.csv,Continuidad formal S2→S3.
s3_auditoria_fuga_variables.csv,Control de predictores prohibidos.
s3_diagnostico_mecanismo_faltantes.csv,MCAR/MAR/MNAR.
s3_diagnostico_ols_imputacion.csv,Regresión lineal de imputación.
s3_validacion_imputacion_global.csv,NRMSE y encogimiento.
s3_trayectoria_forward_aic_bic.csv,Modelo stepwise.
s3_trayectoria_backward_bic.csv,Modelo parsimonioso.
s3_metricas_9_combinaciones_validacion.csv,Selección sin test.
s3_metricas_modelo_final_train_test.csv,Evaluación final.
s3_coeficientes_or_ic_wald.csv,Inferencia y odds ratios.
s3_residuos_influencia.csv,Diagnóstico del modelo.
s3_bootstrap_coeficientes_or.csv,Estabilidad y comparación Wald.
s3_bootstrap_convergencia.csv,Suficiencia de remuestras.
s3_impacto_imputacion_metricas.csv,Comparación de faltantes.
s3_diagnostico_subgrupos.csv,Equidad operacional.
s3_conclusiones_accionables.csv,Cierre del informe.
s3_guion_presentacion_10_min.csv,Presentación grupal.
