modelo,variable,familia,faltantes_%
M1_Dominio_S1_S2,temperatura_mean,meteorológica,0.0
M1_Dominio_S1_S2,humedad_mean,meteorológica,0.0
M1_Dominio_S1_S2,viento_mean,meteorológica,0.0
M1_Dominio_S1_S2,radiacion_mean,meteorológica,0.0
M1_Dominio_S1_S2,prop_inversion,meteorológica,0.0
M1_Dominio_S1_S2,mes_sin,temporal,0.0
M1_Dominio_S1_S2,mes_cos,temporal,0.0
M1_Dominio_S1_S2,invierno,temporal,0.0
M1_Dominio_S1_S2,es_finde,temporal,0.0
M1_Dominio_S1_S2,es_festivo,temporal,0.0
M1_Dominio_S1_S2,periodo_gec,temporal,0.0
M1_Dominio_S1_S2,zona_geografica,territorial,0.0
M1_Dominio_S1_S2,nivel_socioeconomico,territorial,0.0
M1_Dominio_S1_S2,estacion_anio,territorial,0.0
M1_Dominio_S1_S2,temporada_critica,territorial,0.0
M1_Dominio_S1_S2,comuna,territorial,0.0
M1_Dominio_S1_S2,estacion,territorial,0.0
M2_Forward_AIC_BIC,mp10_mean,nowcasting/calidad,0.11203998965784712
M2_Forward_AIC_BIC,temporada_critica,territorial,0.0
M2_Forward_AIC_BIC,viento_mean,meteorológica,0.0
M3_Backward_BIC,temperatura_mean,meteorológica,0.0
M3_Backward_BIC,humedad_mean,meteorológica,0.0
M3_Backward_BIC,viento_mean,meteorológica,0.0
M3_Backward_BIC,prop_inversion,meteorológica,0.0
M3_Backward_BIC,presion_mean,meteorológica,0.0
M3_Backward_BIC,mes_sin,temporal,0.0
M3_Backward_BIC,mes_cos,temporal,0.0
M3_Backward_BIC,invierno,temporal,0.0
M3_Backward_BIC,es_finde,temporal,0.0
M3_Backward_BIC,es_festivo,temporal,0.0
M3_Backward_BIC,periodo_gec,temporal,0.0
M3_Backward_BIC,zona_geografica,territorial,0.0
M3_Backward_BIC,nivel_socioeconomico,territorial,0.0
M3_Backward_BIC,estacion_anio,territorial,0.0
M3_Backward_BIC,temporada_critica,territorial,0.0
M3_Backward_BIC,estacion,territorial,0.0
M3_Backward_BIC,mp10_mean,nowcasting/calidad,0.11203998965784712
