variable,familia,tipo,faltantes_%,modelo_dominio,pool_seleccion
temperatura_mean,meteorológica,numérica,0.0,True,True
humedad_mean,meteorológica,numérica,0.0,True,True
viento_mean,meteorológica,numérica,0.0,True,True
radiacion_mean,meteorológica,numérica,0.0,True,True
prop_inversion,meteorológica,numérica,0.0,True,True
presion_mean,meteorológica,numérica,0.0,False,True
mes_sin,temporal,numérica,0.0,True,True
mes_cos,temporal,numérica,0.0,True,True
invierno,temporal,numérica,0.0,True,True
es_finde,temporal,numérica,0.0,True,True
es_festivo,temporal,numérica,0.0,True,True
periodo_gec,temporal,numérica,0.0,True,True
zona_geografica,territorial,categórica,0.0,True,True
nivel_socioeconomico,territorial,categórica,0.0,True,True
estacion_anio,territorial,categórica,0.0,True,True
temporada_critica,territorial,categórica,0.0,True,True
comuna,territorial,categórica,0.0,True,True
estacion,territorial,categórica,0.0,True,True
mp10_mean,nowcasting/calidad,numérica,0.11203998965784712,False,True
