modelo,estrategia,particion,n_disponible,n_utilizado,retencion,prevalencia
M1_Meteorologico,completos,train,12848,12848,1.0,0.08981942714819427
M1_Meteorologico,completos,test,3223,3223,1.0,0.07415451442755197
M1_Meteorologico,mediana,train,12848,12848,1.0,0.08981942714819427
M1_Meteorologico,mediana,test,3223,3223,1.0,0.07415451442755197
M1_Meteorologico,regresion,train,12848,12848,1.0,0.08981942714819427
M1_Meteorologico,regresion,test,3223,3223,1.0,0.07415451442755197
M2_Territorial_Temporal,completos,train,12848,12848,1.0,0.08981942714819427
M2_Territorial_Temporal,completos,test,3223,3223,1.0,0.07415451442755197
M2_Territorial_Temporal,mediana,train,12848,12848,1.0,0.08981942714819427
M2_Territorial_Temporal,mediana,test,3223,3223,1.0,0.07415451442755197
M2_Territorial_Temporal,regresion,train,12848,12848,1.0,0.08981942714819427
M2_Territorial_Temporal,regresion,test,3223,3223,1.0,0.07415451442755197
M3_Integrado_Sin_Fuga,completos,train,12848,10183,0.7925747198007472,0.11322792890110969
M3_Integrado_Sin_Fuga,completos,test,3223,1456,0.4517530251318647,0.16277472527472528
M3_Integrado_Sin_Fuga,mediana,train,12848,12848,1.0,0.08981942714819427
M3_Integrado_Sin_Fuga,mediana,test,3223,3223,1.0,0.07415451442755197
M3_Integrado_Sin_Fuga,regresion,train,12848,12848,1.0,0.08981942714819427
M3_Integrado_Sin_Fuga,regresion,test,3223,3223,1.0,0.07415451442755197
