umbral,precision,recall,f1,f2,costo,tn,fp,fn,tp
0.02,0.7097523219814241,0.9934994582881906,0.8279909706546276,0.9199438202247191,405.0,5152,375,6,917
0.025,0.715625,0.9924160346695557,0.831593281888334,0.9211584875301689,399.0,5163,364,7,916
0.03,0.7196850393700788,0.9902491874322861,0.833561331509348,0.9209995969367191,401.0,5171,356,9,914
0.035,0.7248215701823949,0.9902491874322861,0.836996336996337,0.9226731273975368,392.0,5180,347,9,914
0.04,0.7312,0.9902491874322861,0.8412333179935573,0.924726831242412,381.0,5191,336,9,914
0.045,0.7365028203062046,0.9902491874322861,0.844731977818854,0.9264139468883033,372.0,5200,327,9,914
0.05,0.7412814274128142,0.9902491874322861,0.8478664192949907,0.9279187817258884,364.0,5208,319,9,914
0.05500000000000001,0.7436940602115542,0.9902491874322861,0.8494423791821561,0.9286730339361918,360.0,5212,315,9,914
0.06,0.7473426001635323,0.9902491874322861,0.8518173345759553,0.9298067141403866,354.0,5218,309,9,914
0.065,0.7491803278688525,0.9902491874322861,0.8530097993467102,0.9303745928338762,351.0,5221,306,9,914
0.07,0.7504105090311987,0.9902491874322861,0.8538066324147594,0.9307535641547862,349.0,5223,304,9,914
0.075,0.7535037098103875,0.9902491874322861,0.8558052434456929,0.9317023445463812,344.0,5228,299,9,914
0.08,0.7566225165562914,0.9902491874322861,0.8578132332238386,0.9326530612244898,339.0,5233,294,9,914
0.085,0.75850622406639,0.9902491874322861,0.8590225563909775,0.9332244231161936,336.0,5236,291,9,914
0.09000000000000001,0.75850622406639,0.9902491874322861,0.8590225563909775,0.9332244231161936,336.0,5236,291,9,914
0.095,0.7591362126245847,0.9902491874322861,0.8594264221908792,0.9334150326797386,335.0,5237,290,9,914
0.1,0.7597672485453034,0.9902491874322861,0.8598306679209784,0.933605720122574,334.0,5238,289,9,914
0.10500000000000001,0.7635756056808688,0.9902491874322861,0.8622641509433963,0.9347514829208428,328.0,5244,283,9,914
0.11,0.7642140468227425,0.9902491874322861,0.8626710712600283,0.9349427168576104,327.0,5245,282,9,914
0.115,0.7652975691533948,0.9891657638136512,0.8629489603024575,0.9344933469805528,330.0,5247,280,10,913
0.12000000000000001,0.7659395973154363,0.9891657638136512,0.8633569739952719,0.9346846846846847,329.0,5248,279,10,913
0.125,0.7659395973154363,0.9891657638136512,0.8633569739952719,0.9346846846846847,329.0,5248,279,10,913
0.13,0.7685185185185185,0.9891657638136512,0.8649928943628612,0.9354508196721312,325.0,5252,275,10,913
0.135,0.770464135021097,0.9891657638136512,0.8662239089184061,0.9360262456428132,322.0,5255,272,10,913
0.13999999999999999,0.7711148648648649,0.9891657638136512,0.8666350261034647,0.9362182116488925,321.0,5256,271,10,913
0.145,0.772419627749577,0.9891657638136512,0.867458432304038,0.9366023799753795,319.0,5258,269,10,913
0.15,0.7743850720949957,0.9891657638136512,0.8686964795432921,0.9371792239786492,316.0,5261,266,10,913
0.155,0.7757009345794392,0.9891657638136512,0.8695238095238095,0.9375641815567879,314.0,5263,264,10,913
0.16,0.7783461210571185,0.9891657638136512,0.8711832061068703,0.9383350462487153,310.0,5267,260,10,913
0.16499999999999998,0.7790102389078498,0.9891657638136512,0.871599045346062,0.9385279605263158,309.0,5268,259,10,913
0.16999999999999998,0.7794871794871795,0.9880823401950163,0.8714763497372193,0.9378856437679967,313.0,5269,258,11,912
0.175,0.7801539777587682,0.9880823401950163,0.8718929254302104,0.9380785846533635,312.0,5270,257,11,912
0.18,0.781491002570694,0.9880823401950163,0.8727272727272727,0.9384647046717431,310.0,5272,255,11,912
0.185,0.7828326180257511,0.9880823401950163,0.8735632183908046,0.938851142680667,308.0,5274,253,11,912
0.19,0.7855297157622739,0.9880823401950163,0.8752399232245681,0.9396249742427365,304.0,5278,249,11,912
0.195,0.7868852459016393,0.9880823401950163,0.8760806916426513,0.9400123685837971,302.0,5280,247,11,912
0.19999999999999998,0.7882454624027658,0.9880823401950163,0.8769230769230769,0.9404000824912353,300.0,5282,245,11,912
0.205,0.7882454624027658,0.9880823401950163,0.8769230769230769,0.9404000824912353,300.0,5282,245,11,912
0.21,0.7882454624027658,0.9880823401950163,0.8769230769230769,0.9404000824912353,300.0,5282,245,11,912
0.215,0.7896103896103897,0.9880823401950163,0.87776708373436,0.9407881163606354,298.0,5284,243,11,912
0.22,0.7909800520381614,0.9880823401950163,0.8786127167630058,0.9411764705882353,296.0,5286,241,11,912
0.225,0.7935540069686411,0.9869989165763814,0.8797682279092226,0.9411157024793388,297.0,5290,237,12,911
0.22999999999999998,0.7942458587619878,0.9869989165763814,0.8801932367149758,0.9413101880553834,296.0,5291,236,12,911
0.235,0.7956331877729258,0.9869989165763814,0.8810444874274661,0.9416994004548274,294.0,5293,234,12,911
0.24,0.7970253718285214,0.9869989165763814,0.8818973862536302,0.9420889348500517,292.0,5295,232,12,911
0.245,0.7970253718285214,0.9869989165763814,0.8818973862536302,0.9420889348500517,292.0,5295,232,12,911
0.25,0.7970253718285214,0.9869989165763814,0.8818973862536302,0.9420889348500517,292.0,5295,232,12,911
0.255,0.7984224364592463,0.9869989165763814,0.8827519379844961,0.9424787916408028,290.0,5297,230,12,911
0.26,0.7989464442493416,0.9859154929577465,0.8826382153249273,0.94183398882219,294.0,5298,229,13,910
0.265,0.7987697715289982,0.9848320693391116,0.8820960698689956,0.9409937888198758,299.0,5298,229,14,909
0.27,0.8,0.9837486457204767,0.8824101068999028,0.9405427801947379,302.0,5300,227,15,908
0.275,0.8014121800529568,0.9837486457204767,0.8832684824902723,0.9409326424870467,300.0,5302,225,15,908
0.28,0.8035398230088495,0.9837486457204767,0.8845591816853385,0.941518042306097,297.0,5305,222,15,908
0.28500000000000003,0.804251550044287,0.9837486457204767,0.884990253411306,0.9417133374818503,296.0,5306,221,15,908
0.29000000000000004,0.8049645390070922,0.9837486457204767,0.8854217454900049,0.941908713692946,295.0,5307,220,15,908
0.29500000000000004,0.8049645390070922,0.9837486457204767,0.8854217454900049,0.941908713692946,295.0,5307,220,15,908
0.30000000000000004,0.8049645390070922,0.9837486457204767,0.8854217454900049,0.941908713692946,295.0,5307,220,15,908
0.30500000000000005,0.8049645390070922,0.9837486457204767,0.8854217454900049,0.941908713692946,295.0,5307,220,15,908
0.31,0.8047914818101154,0.9826652221018418,0.8848780487804878,0.9410666113301515,300.0,5307,220,16,907
0.315,0.8062222222222222,0.9826652221018418,0.8857421875,0.9414573385924849,298.0,5309,218,16,907
0.32,0.806049822064057,0.9815817984832069,0.8851978505129457,0.9406146179401993,303.0,5309,218,17,906
0.325,0.806049822064057,0.9815817984832069,0.8851978505129457,0.9406146179401993,303.0,5309,218,17,906
0.33,0.8074866310160428,0.9815817984832069,0.8860635696821516,0.9410054009140009,301.0,5311,216,17,906
0.335,0.8074866310160428,0.9815817984832069,0.8860635696821516,0.9410054009140009,301.0,5311,216,17,906
0.34,0.8103756708407871,0.9815817984832069,0.8878000979911808,0.9417879417879418,297.0,5315,212,17,906
0.34500000000000003,0.8111011638316921,0.9815817984832069,0.888235294117647,0.941983780411728,296.0,5316,211,17,906
0.35000000000000003,0.8109318996415771,0.980498374864572,0.887690044139284,0.9411397670549085,301.0,5316,211,18,905
0.35500000000000004,0.8131176999101527,0.980498374864572,0.8889980353634578,0.9417273673257024,298.0,5319,208,18,905
0.36000000000000004,0.8131176999101527,0.980498374864572,0.8889980353634578,0.9417273673257024,298.0,5319,208,18,905
0.36500000000000005,0.8131176999101527,0.980498374864572,0.8889980353634578,0.9417273673257024,298.0,5319,208,18,905
0.37000000000000005,0.8138489208633094,0.980498374864572,0.8894348894348895,0.9419233971690258,297.0,5320,207,18,905
0.375,0.8153153153153153,0.980498374864572,0.8903098868666994,0.9423157017909205,295.0,5322,205,18,905
0.38,0.8153153153153153,0.980498374864572,0.8903098868666994,0.9423157017909205,295.0,5322,205,18,905
0.385,0.8153153153153153,0.980498374864572,0.8903098868666994,0.9423157017909205,295.0,5322,205,18,905
0.39,0.8153153153153153,0.980498374864572,0.8903098868666994,0.9423157017909205,295.0,5322,205,18,905
0.395,0.8153153153153153,0.980498374864572,0.8903098868666994,0.9423157017909205,295.0,5322,205,18,905
0.4,0.8160504959422904,0.980498374864572,0.890748031496063,0.9425119766715268,294.0,5323,204,18,905
0.405,0.8167870036101083,0.980498374864572,0.8911866075824717,0.9427083333333334,293.0,5324,203,18,905
0.41000000000000003,0.8175248419150858,0.980498374864572,0.8916256157635468,0.942904771827464,292.0,5325,202,18,905
0.41500000000000004,0.8190045248868778,0.980498374864572,0.8925049309664694,0.9432978945174068,290.0,5327,200,18,905
0.42000000000000004,0.8190045248868778,0.980498374864572,0.8925049309664694,0.9432978945174068,290.0,5327,200,18,905
0.42500000000000004,0.8188405797101449,0.9794149512459371,0.8919585594474593,0.9424520433694745,295.0,5327,200,19,904
0.43000000000000005,0.8188405797101449,0.9794149512459371,0.8919585594474593,0.9424520433694745,295.0,5327,200,19,904
0.43500000000000005,0.8194192377495463,0.9783315276273022,0.8918518518518519,0.94180225281602,299.0,5328,199,20,903
0.44,0.8194192377495463,0.9783315276273022,0.8918518518518519,0.94180225281602,299.0,5328,199,20,903
0.445,0.8201634877384196,0.9783315276273022,0.892292490118577,0.9419987481744211,298.0,5329,198,20,903
0.45,0.8201634877384196,0.9783315276273022,0.892292490118577,0.9419987481744211,298.0,5329,198,20,903
0.455,0.8201634877384196,0.9783315276273022,0.892292490118577,0.9419987481744211,298.0,5329,198,20,903
0.46,0.8201634877384196,0.9783315276273022,0.892292490118577,0.9419987481744211,298.0,5329,198,20,903
0.465,0.8201634877384196,0.9783315276273022,0.892292490118577,0.9419987481744211,298.0,5329,198,20,903
0.47000000000000003,0.8201634877384196,0.9783315276273022,0.892292490118577,0.9419987481744211,298.0,5329,198,20,903
0.47500000000000003,0.8201634877384196,0.9783315276273022,0.892292490118577,0.9419987481744211,298.0,5329,198,20,903
0.48000000000000004,0.8201634877384196,0.9783315276273022,0.892292490118577,0.9419987481744211,298.0,5329,198,20,903
0.48500000000000004,0.8209090909090909,0.9783315276273022,0.8927335640138409,0.9421953255425709,297.0,5330,197,20,903
0.49000000000000005,0.8214936247723132,0.9772481040086674,0.892627412172192,0.941544885177453,301.0,5331,196,21,902
0.49500000000000005,0.8222424794895169,0.9772481040086674,0.8930693069306931,0.941741490916684,300.0,5332,195,21,902
0.5,0.8222424794895169,0.9772481040086674,0.8930693069306931,0.941741490916684,300.0,5332,195,21,902
0.505,0.8228310502283105,0.9761646803900325,0.8929633300297324,0.9410904533110508,304.0,5333,194,22,901
0.51,0.823583180987203,0.9761646803900325,0.8934060485870104,0.9412870873380693,303.0,5334,193,22,901
0.515,0.823583180987203,0.9761646803900325,0.8934060485870104,0.9412870873380693,303.0,5334,193,22,901
0.52,0.823583180987203,0.9761646803900325,0.8934060485870104,0.9412870873380693,303.0,5334,193,22,901
0.525,0.823583180987203,0.9761646803900325,0.8934060485870104,0.9412870873380693,303.0,5334,193,22,901
0.53,0.825091575091575,0.9761646803900325,0.8942928039702234,0.941680602006689,301.0,5336,191,22,901
0.535,0.8258478460128322,0.9761646803900325,0.8947368421052632,0.9418774827514113,300.0,5337,190,22,901
0.54,0.8273645546372819,0.9761646803900325,0.8956262425447317,0.9422714913198076,298.0,5339,188,22,901
0.545,0.8294930875576036,0.9750812567713976,0.896414342629482,0.9420138162026377,300.0,5342,185,23,900
0.55,0.8294930875576036,0.9750812567713976,0.896414342629482,0.9420138162026377,300.0,5342,185,23,900
0.555,0.8310249307479224,0.9750812567713976,0.8973080757726819,0.9424083769633508,298.0,5344,183,23,900
0.56,0.8325624421831638,0.9750812567713976,0.8982035928143712,0.9428032683846638,296.0,5346,181,23,900
0.5650000000000001,0.8333333333333334,0.9750812567713976,0.8986520219670494,0.9430008382229673,295.0,5347,180,23,900
0.5700000000000001,0.8331788693234476,0.9739978331527628,0.8981018981018981,0.9421504925592119,300.0,5347,180,24,899
0.5750000000000001,0.8331788693234476,0.9739978331527628,0.8981018981018981,0.9421504925592119,300.0,5347,180,24,899
0.5800000000000001,0.8330241187384044,0.9729144095341279,0.8975512243878061,0.9412997903563941,305.0,5347,180,25,898
0.5850000000000001,0.8337975858867224,0.9729144095341279,0.898,0.9414971692178654,304.0,5348,179,25,898
0.5900000000000001,0.8337975858867224,0.9729144095341279,0.898,0.9414971692178654,304.0,5348,179,25,898
0.5950000000000001,0.8336431226765799,0.971830985915493,0.897448724362181,0.9406459731543624,309.0,5348,179,26,897
0.6,0.8344186046511628,0.971830985915493,0.8978978978978979,0.9408432976714916,308.0,5349,178,26,897
0.605,0.8372310570626754,0.9696641386782232,0.8985943775100401,0.939928586431422,314.0,5353,174,28,895
0.61,0.8403755868544601,0.9696641386782232,0.9004024144869215,0.940718940508724,310.0,5357,170,28,895
0.615,0.8411654135338346,0.9696641386782232,0.9008555611474585,0.9409167367535745,309.0,5358,169,28,895
0.62,0.8411654135338346,0.9696641386782232,0.9008555611474585,0.9409167367535745,309.0,5358,169,28,895
0.625,0.8427495291902072,0.9696641386782232,0.9017632241813602,0.9413125788809423,307.0,5360,167,28,895
0.63,0.8467360454115421,0.9696641386782232,0.9040404040404041,0.9423036428721836,302.0,5365,162,28,895
0.635,0.8475378787878788,0.9696641386782232,0.9044972208185953,0.9425021061499579,301.0,5366,161,28,895
0.64,0.849146110056926,0.9696641386782232,0.9054122407688416,0.9428992836072482,299.0,5368,159,28,895
0.645,0.849146110056926,0.9696641386782232,0.9054122407688416,0.9428992836072482,299.0,5368,159,28,895
0.65,0.8499525166191833,0.9696641386782232,0.9058704453441295,0.9430979978925185,298.0,5369,158,28,895
0.655,0.851569933396765,0.9696641386782232,0.9067882472137792,0.9434956778410288,296.0,5371,156,28,895
0.66,0.8523809523809524,0.9696641386782232,0.9072478459199189,0.943694643610291,295.0,5372,155,28,895
0.665,0.8522402287893232,0.9685807150595883,0.9066937119675457,0.9428390634887155,300.0,5372,155,29,894
0.67,0.8522402287893232,0.9685807150595883,0.9066937119675457,0.9428390634887155,300.0,5372,155,29,894
0.675,0.8520992366412213,0.9674972914409534,0.9061390157280568,0.9419831223628692,305.0,5372,155,30,893
0.68,0.8537284894837476,0.9674972914409534,0.9070594210259014,0.9423807513718869,303.0,5374,153,30,893
0.685,0.8545454545454545,0.9674972914409534,0.907520325203252,0.9425796917880515,302.0,5375,152,30,893
0.6900000000000001,0.8544061302681992,0.9664138678223185,0.9069649211997967,0.941722972972973,307.0,5375,152,31,892
0.6950000000000001,0.8542665388302972,0.9653304442036836,0.9064089521871821,0.9408658922914467,312.0,5375,152,32,891
0.7000000000000001,0.8549471661863592,0.9642470205850487,0.9063136456211812,0.9402070568349884,316.0,5376,151,33,890
0.7050000000000001,0.8548076923076923,0.9631635969664138,0.9057564951604686,0.9393491124260355,321.0,5376,151,34,889
0.7100000000000001,0.8546679499518768,0.962080173347779,0.9051987767584098,0.9384908053265695,326.0,5376,151,35,888
0.7150000000000001,0.8545279383429673,0.9609967497291441,0.90464048954615,0.9376321353065539,331.0,5376,151,36,887
